fips,Year,PerCapitaIncome,UnemploymentRate,PovertyRate,MedianIncome,Rent,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,RepublicanVoteShare,DemocratVoteShare,RepublicanMargin,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,MentalHealthScore,state_fips
1007,2019,32102.0,3.2,20.3,47918.0,,10.378525482434435,76.78833414840173,22.291379540301428,2.5741341750766904,22493.0,76.40322031976415,21.24957478172128,55.153645538042866,,,,,23.744128319561916,10
1007,2020,34817.0,7.2,17.8,50907.0,,11.346719209357603,76.59783677482793,22.54849378743184,2.681684097613301,22374.0,78.42626367899948,20.698280354351223,57.72798332464825,,,,,23.744128319561916,10
1007,2021,37362.0,3.4,20.6,48454.0,,11.913807062340412,75.94145993217919,22.32286275209709,2.828841691950741,22412.0,78.42626367899948,20.698280354351223,57.72798332464825,,,,,23.744128319561916,10
1007,2022,38196.0,2.4,20.0,54309.0,,10.919937205651491,75.8258055817716,20.68671070963103,2.9212170239539796,22251.0,78.42626367899948,20.698280354351223,57.72798332464825,,,,,23.744128319561916,10
1007,2023,39835.0,2.5,19.4,56025.0,,10.919937205651491,75.8258055817716,20.68671070963103,2.9212170239539796,22251.0,78.42626367899948,20.698280354351223,57.72798332464825,10.0,,,,23.744128319561916,10
1009,2018,35278.0,3.5,13.2,50412.0,,12.642894995836173,95.50524763639515,1.4953595281464134,9.126550438025848,57645.0,89.33484445833984,8.425824605283728,80.90901985305612,,,10.0,,18.34003644157045,10
1009,2019,36554.0,2.8,16.3,52902.0,,13.093413083360558,95.45951006397254,1.608848667672197,9.26128187791474,57681.0,89.33484445833984,8.425824605283728,80.90901985305612,,,16.0,,18.34003644157045,10
1009,2020,37764.0,4.5,13.1,55203.0,,13.251620033154165,93.967621850922,1.3990130724612586,9.284044671457018,57755.0,89.5715528490648,9.569377990430622,80.00217485863418,14.0,,13.0,,18.34003644157045,10
1009,2021,42975.0,2.4,12.0,56894.0,,14.903609717714172,92.45126010461246,1.2906731879627744,9.530602540588276,58884.0,89.5715528490648,9.569377990430622,80.00217485863418,16.0,,14.0,,18.34003644157045,10
1009,2022,44063.0,2.2,13.6,60553.0,,14.741406766788348,91.30626131997224,1.2339827682516038,9.683971765661765,59077.0,89.5715528490648,9.569377990430622,80.00217485863418,17.0,,14.0,,18.34003644157045,10
1009,2023,45021.0,2.1,12.8,64962.0,,14.741406766788348,91.30626131997224,1.2339827682516038,9.683971765661765,59077.0,89.5715528490648,9.569377990430622,80.00217485863418,21.0,35.107663501,12.0,,18.34003644157045,10
1011,2018,26117.0,4.7,42.5,29267.0,,13.302364864864863,21.986089644513136,76.24613601236476,0.4926584234930448,10352.0,24.203821656050955,74.94692144373673,-50.74309978768577,,,,,31.198544945530926,10
1011,2019,27176.0,3.9,30.0,31906.0,,12.05464019152232,21.89695550351288,74.80483996877439,2.5565964090554254,10248.0,24.203821656050955,74.94692144373673,-50.74309978768577,,,,,31.198544945530926,10
1011,2020,30672.0,5.9,30.8,33124.0,,10.274174528301886,26.17713555490023,68.61299518332842,8.099872210753958,10173.0,24.842835464990245,74.70192933015392,-49.85909386516367,,,0.0,,31.198544945530926,10
1011,2021,34068.0,3.9,32.1,32027.0,,11.691144394358004,24.76410552667052,68.97746967071056,8.54997111496245,10386.0,24.842835464990245,74.70192933015392,-49.85909386516367,0.0,,,,31.198544945530926,10
1011,2022,33429.0,2.8,31.5,35798.0,,9.376746785913918,23.20875290472502,68.90975987606507,8.781951975213014,10328.0,24.842835464990245,74.70192933015392,-49.85909386516367,,,,,31.198544945530926,10
1011,2023,36061.0,2.4,33.6,36204.0,,9.376746785913918,23.20875290472502,68.90975987606507,8.781951975213014,10328.0,24.842835464990245,74.70192933015392,-49.85909386516367,11.0,,,,31.198544945530926,10
1013,2018,36547.0,4.7,24.5,37365.0,,16.09302995391705,52.004993757802744,45.21847690387016,0.3345817727840199,20025.0,56.12688960146587,42.67063673843335,13.456252863032518,0.0,,,,23.830234804710877,10
1013,2019,37751.0,3.9,21.6,39944.0,,16.137202402489326,51.84587452087956,45.395400443816825,1.3970143231793424,19828.0,56.12688960146587,42.67063673843335,13.456252863032518,,,,,23.830234804710877,10
