fips,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,RepublicanMargin,RepublicanVoteShare,DemocratVoteShare,UnemploymentRate,PovertyRate,MedianIncome,PerCapitaIncome,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,Rent,correlation,n_years,state_fips
20187,0.0,,0.0,,59.76,78.49,18.73,2.22,10.68,67938.83,80240.67,17.65,90.44,0.01,39.91,2058.83,,,3.0,20
20189,0.0,,0.0,,74.3,85.96,11.66,2.4,10.08,64826.83,50158.67,12.6,79.64,0.53,37.15,5442.83,,,4.0,20
20191,,,,,50.47,73.39,22.92,4.17,12.1,58580.83,45358.5,23.72,92.6,0.95,5.64,22814.5,,,,20
20193,0.0,,,,66.53,81.87,15.35,2.22,9.42,62169.0,52347.83,25.05,93.71,1.49,7.04,7849.67,,,5.0,20
20195,0.0,,0.0,,68.99,83.34,14.35,2.83,10.82,54796.33,57428.17,23.95,97.29,0.11,1.69,2820.17,,,5.0,20
20197,0.0,,0.0,,47.88,72.0,24.12,2.98,8.0,66859.5,54965.5,24.35,94.22,0.72,4.26,6896.5,,,5.0,20
20199,0.0,,0.0,,86.86,92.34,5.48,2.2,12.83,57692.83,58414.17,28.82,93.15,0.39,5.97,1539.83,,,5.0,20
20201,0.0,,0.0,,65.44,81.09,15.65,2.23,10.43,53967.83,50679.67,21.52,95.95,0.21,3.96,5513.5,,,4.0,20
20203,0.0,,0.0,,67.32,82.46,15.14,2.02,11.07,60622.33,61064.67,20.99,85.22,0.84,28.25,2132.83,,,4.0,20
20205,,,,,61.34,79.04,17.7,4.38,14.68,49244.83,46137.67,17.96,94.38,0.42,3.43,8685.83,,,,20
20207,0.0,,0.0,,58.96,77.95,18.98,4.18,14.63,44085.33,42579.67,18.89,92.93,0.31,0.68,3145.67,,,4.0,20
20209,46.5,31.98,31.0,18.71,-30.76,33.03,63.79,4.8,17.6,53555.17,36998.67,18.85,54.65,21.34,29.45,166494.0,959.35,-0.91,6.0,20
21000,,,,,,,,4.58,,,,,,,,,,,,21
21001,10.0,,,,66.28,82.23,15.95,5.25,22.62,41618.33,38141.67,17.75,93.54,2.46,2.2,19072.5,,,,21
21003,12.0,,,,63.39,80.64,17.25,4.17,16.37,51922.33,38040.17,16.99,96.08,0.86,2.24,20825.5,,,,21
21005,13.5,,,,48.14,72.68,24.54,3.9,10.0,66769.0,43164.67,23.19,94.46,2.82,1.97,23087.83,,,,21
21007,0.0,,0.0,,59.0,78.65,19.65,5.57,14.8,54024.33,46361.83,15.97,92.8,4.13,1.47,7889.0,,,,21
21009,10.0,,14.0,,48.27,73.02,24.75,4.95,18.45,47261.17,40693.5,16.77,91.35,3.54,3.4,44148.17,,,,21
21011,14.33,163.69,0.0,,41.09,69.62,28.53,6.17,20.22,45687.67,35369.0,14.31,95.91,1.49,1.71,12533.67,,,3.0,21
21013,12.83,,,,62.89,80.66,17.77,6.02,30.47,31837.67,37043.0,10.14,94.91,2.36,1.21,25595.83,,0.32,6.0,21
21015,45.17,33.18,18.33,15.61,37.73,67.23,29.5,3.7,6.87,83959.5,54951.0,33.19,89.13,3.35,4.36,133197.0,1428.2,-0.4,6.0,21
21017,15.0,,0.0,,30.53,63.88,33.36,4.03,15.08,54123.5,53258.33,21.8,88.7,5.95,6.99,20156.17,,,3.0,21
21019,42.17,88.85,11.75,,34.45,65.98,31.53,6.03,18.7,52369.83,43350.83,20.35,93.56,2.14,1.88,48010.83,,-0.8,6.0,21
21021,15.25,,10.0,,26.15,61.59,35.44,4.87,14.88,54667.0,43358.67,25.77,86.6,7.87,3.36,30278.33,,,4.0,21
21023,,,,,59.77,79.0,19.23,4.87,13.82,57156.5,42130.5,14.59,96.41,1.03,0.89,8358.83,,,,21
21025,15.0,154.4,,,49.16,73.41,24.25,7.88,30.17,34639.83,36413.0,16.08,96.73,1.16,1.1,13284.5,,,,21
21027,,,,,52.17,74.98,22.81,5.35,17.77,50887.33,38927.67,13.37,95.13,1.77,1.73,20323.33,,,,21
21029,38.33,46.24,17.17,25.6,48.62,73.01,24.39,4.47,9.15,70069.33,47959.83,15.97,94.47,1.1,2.27,81208.5,1231.76,-0.96,6.0,21
21031,,,0.0,,63.07,80.48,17.41,4.9,17.45,48465.5,40248.17,12.82,96.46,0.52,3.5,12568.0,,,,21
21033,0.0,,,,54.13,76.03,21.89,4.47,16.4,47664.17,40775.67,16.13,91.7,6.44,1.96,12669.83,,,,21
21035,10.0,,11.0,,32.91,64.92,32.01,4.43,17.83,47920.17,41708.33,30.7,90.77,3.49,2.76,38097.5,,,,21
21037,44.67,47.78,13.0,,20.58,58.53,37.94,3.78,10.92,69590.33,57146.83,37.43,93.09,2.88,2.15,93000.5,1151.55,0.45,6.0,21
21039,0.0,,0.0,,64.16,81.4,17.24,4.13,15.3,51303.5,49487.0,13.87,94.79,1.11,2.39,4791.33,,,4.0,21
21041,10.0,,,,42.45,70.0,27.56,4.05,16.23,53947.5,42817.67,7.1,90.19,3.18,6.81,10760.83,,,,21
21043,21.0,88.93,,,52.52,75.1,22.59,8.1,22.32,43965.67,36146.83,13.65,96.75,0.52,1.05,26931.17,,0.93,5.0,21
21045,,,,,73.32,85.82,12.5,4.45,23.53,38158.5,37017.5,12.22,96.24,0.83,2.98,15899.33,,,,21
21047,21.4,35.92,15.4,27.91,29.4,63.42,34.03,5.68,17.8,48933.17,42245.17,18.45,70.02,20.67,8.16,72176.0,885.71,-0.82,5.0,21
21049,26.17,76.14,10.5,,33.71,65.47,31.76,4.3,13.53,59788.5,45123.83,20.05,91.77,4.29,3.13,36417.5,,-0.75,6.0,21
21051,14.25,,0.0,,76.51,87.52,11.0,6.75,36.05,31115.0,35331.5,11.48,92.57,4.33,1.71,20371.17,,0.66,4.0,21
21053,,,0.0,,74.07,86.31,12.24,5.02,23.38,36838.67,40117.17,12.43,96.19,0.3,3.04,9756.83,,,,21
21055,0.0,,,,64.82,81.4,16.58,4.62,18.37,47612.0,39568.67,12.95,96.28,0.79,1.54,8996.33,,,,21
21057,0.0,,0.0,,67.76,82.99,15.22,3.88,22.8,39702.5,46529.17,14.84,92.7,2.73,1.43,6340.17,,,,21
21059,21.33,24.76,20.83,23.08,29.33,63.04,33.71,4.32,14.5,57912.5,46899.33,24.34,89.01,4.59,3.29,101622.0,1167.39,-0.85,6.0,21
21061,0.0,,,,59.22,78.78,19.57,5.42,16.73,48462.17,37813.0,10.75,95.37,1.32,1.26,12163.0,,,,21
21063,0.0,,0.0,,48.86,73.35,24.49,8.53,26.88,37173.67,26445.5,9.44,96.02,3.27,0.71,7443.0,,,,21
21065,19.0,189.16,,,56.99,77.47,20.48,5.4,22.53,39466.33,37390.0,10.69,97.08,0.12,0.65,14192.83,,0.62,5.0,21
21067,152.0,47.16,42.17,13.08,-17.0,39.61,56.61,3.72,14.97,61135.0,57551.83,45.05,73.4,14.6,7.3,320906.83,1142.33,-0.81,6.0,21
21069,,,0.0,,56.27,77.36,21.08,5.3,18.52,47007.67,38357.83,14.68,95.78,1.55,1.28,14788.17,,,,21
21071,27.33,109.85,11.0,,50.19,74.12,23.93,6.67,29.87,36381.0,40469.17,12.19,97.05,0.95,0.56,36166.67,,0.73,6.0,21
21073,26.83,60.13,13.0,,2.18,49.51,47.33,4.15,12.73,59642.5,47111.0,30.53,82.2,9.28,3.61,50973.0,802.33,-0.81,6.0,21
21075,0.0,,0.0,,33.26,65.87,32.61,5.38,26.58,36713.17,37729.17,13.64,71.55,23.54,1.68,6311.83,,,,21
21077,11.0,,0.0,,53.86,75.58,21.72,4.25,13.8,57215.33,40228.67,11.56,90.74,2.26,5.47,8722.33,,,,21
21079,13.33,,,,57.18,77.55,20.37,4.53,15.65,55586.83,41233.17,19.13,94.3,2.03,2.31,17282.5,,,3.0,21
21081,16.0,,,,57.82,77.72,19.9,4.53,13.12,60215.67,42718.17,14.47,93.94,0.67,2.92,25010.17,,0.22,6.0,21
21083,,,,,56.59,77.17,20.58,4.7,17.6,49386.83,44846.17,17.56,88.58,4.17,7.01,36977.5,,,,21
21085,10.0,,,,58.97,78.5,19.53,5.3,19.22,46536.0,39215.83,11.62,95.92,0.71,1.44,26336.5,,,,21
21087,0.0,,,,67.07,82.82,15.75,4.13,18.95,42315.17,39618.17,12.95,95.09,1.84,1.36,11089.83,,,,21
21089,22.0,68.14,10.0,,45.2,71.56,26.36,6.73,15.35,54219.67,45113.33,17.13,96.39,0.95,1.13,35730.17,,-0.1,6.0,21
21091,0.0,,,,38.06,67.35,29.29,4.5,12.85,62116.83,48503.67,14.47,95.67,1.14,1.31,8892.17,,,3.0,21
21093,34.17,33.31,21.83,21.49,26.04,61.47,35.43,4.62,12.3,59193.67,49487.33,22.93,78.35,11.75,5.84,109732.17,1166.88,-0.94,6.0,21
21095,14.6,,,,71.88,85.21,13.33,8.15,30.38,32395.0,34979.5,10.43,95.11,2.2,0.66,26706.5,,-0.84,5.0,21
21097,15.0,,,,44.21,70.98,26.77,4.17,14.52,57050.67,41101.33,16.61,94.82,1.92,2.47,18741.5,,,,21
21099,,,,,51.82,74.96,23.14,4.6,20.48,45098.0,38612.33,11.03,92.6,4.21,1.94,19012.17,,,,21
21101,10.33,,13.0,,25.63,61.59,35.96,4.27,14.83,54912.5,47253.67,18.34,87.16,7.23,2.73,45359.67,,-1.0,3.0,21
21103,12.0,,,,44.96,71.1,26.14,4.03,14.13,57762.0,46029.5,13.59,92.31,2.66,3.45,15812.83,,,,21
21105,0.0,,0.0,,56.75,77.57,20.82,4.77,18.15,50448.0,48814.67,20.81,86.5,9.04,1.96,4508.33,,,3.0,21
21107,,,12.0,,49.95,73.87,23.92,4.98,18.03,49845.5,43829.33,16.0,89.4,6.28,2.17,45319.5,,,,21
21109,,,,,79.58,89.09,9.52,6.47,25.32,38143.83,35052.0,11.27,98.04,0.24,0.5,13190.5,,,,21
21111,460.67,59.68,133.17,17.26,-17.85,39.58,57.43,4.48,14.48,61214.0,59076.5,34.55,69.63,21.86,5.83,773650.83,1055.19,-0.96,6.0,21
21113,30.5,56.26,12.0,,34.99,65.53,30.54,3.87,11.75,65934.83,53477.0,29.74,90.16,4.36,3.68,53118.0,1102.15,-0.72,6.0,21
21115,11.0,,,,68.41,83.28,14.87,6.83,24.75,40009.0,36984.17,15.33,96.98,0.51,0.48,22660.0,,,3.0,21
21117,92.17,54.67,25.5,15.96,21.55,58.96,37.41,3.92,11.1,71155.33,64242.5,34.07,89.27,4.48,3.41,167217.33,1143.76,0.23,6.0,21
21119,16.0,,,,53.91,76.17,22.26,6.87,29.6,35491.0,37790.67,15.35,97.13,0.85,1.02,14814.0,,,4.0,21
21121,14.33,,,,67.24,82.74,15.5,6.17,32.4,33467.17,34989.67,15.19,96.21,0.88,1.35,30816.83,,-0.69,3.0,21
21123,0.0,,,,56.61,77.04,20.42,4.92,15.83,53490.33,40804.83,14.18,92.59,3.35,3.3,14533.5,,,,21
21125,23.6,41.98,12.5,,67.54,82.77,15.23,4.93,20.27,47994.17,37972.0,15.42,96.68,0.72,1.56,61357.0,,-0.76,5.0,21
21127,13.0,,0.0,,62.93,80.56,17.63,6.53,23.75,40776.83,35651.83,10.47,97.87,0.28,1.29,15964.67,,,,21
21129,15.0,,0.0,,63.96,81.01,17.06,5.88,33.73,32053.0,32718.0,8.11,95.22,1.3,1.22,7109.83,,,,21
21131,,,0.0,,80.52,89.67,9.15,7.75,29.25,35404.0,36502.0,10.0,97.28,0.26,0.47,10399.0,,,,21
21133,16.0,,,,60.59,79.35,18.76,7.17,27.67,35917.17,36487.0,11.85,97.63,0.48,0.87,21945.17,,,,21
21135,12.5,,0.0,,69.69,83.95,14.27,8.1,23.07,40565.83,36735.5,9.65,97.47,0.27,0.03,13246.83,,,,21
21137,16.25,,,,57.17,77.44,20.27,5.47,19.25,45788.33,37607.67,13.53,94.19,2.02,1.75,24396.83,,,4.0,21
21139,0.0,,0.0,,60.18,79.05,18.88,5.87,13.9,52168.17,43727.83,13.11,96.71,0.64,2.21,9103.17,,,,21
21141,,,,,47.62,72.75,25.13,4.07,15.87,53179.5,41756.17,16.61,90.42,6.25,2.95,27185.83,,,,21
21143,0.0,,,,46.33,72.35,26.01,4.63,14.83,55452.5,39256.17,15.29,91.39,5.64,2.44,8470.83,,,,21
21145,14.67,,14.33,30.47,33.53,65.51,31.98,5.0,15.67,54858.33,54554.67,26.25,84.2,10.49,2.64,66429.5,,-0.27,6.0,21
21147,5.5,,,,76.26,87.6,11.34,5.95,34.73,33152.0,31520.33,7.2,90.13,6.3,2.01,17210.17,,,,21
21149,0.0,,,,53.15,75.33,22.19,4.68,13.92,52402.0,45347.33,15.56,96.65,1.06,1.6,9224.0,,,,21
21151,65.17,68.97,15.0,,28.26,62.43,34.18,4.17,15.93,56413.17,41774.67,32.24,90.73,4.1,2.59,91782.67,837.52,-0.8,6.0,21
21153,13.5,,0.0,,53.53,76.01,22.48,11.83,30.15,34273.0,38992.17,10.4,98.66,0.03,1.06,12102.5,,,,21
21155,9.5,,,,35.36,66.7,31.34,4.35,16.43,51741.67,41544.33,13.32,89.47,7.12,2.77,19423.83,,0.93,4.0,21
21157,,,13.0,,52.21,74.96,22.75,4.72,12.38,58373.67,46164.67,20.84,96.99,0.74,1.72,31442.83,,,,21
21159,,,,,78.95,88.84,9.9,8.13,38.37,32146.67,31340.67,10.71,91.27,5.71,1.89,11496.33,,,,21
21161,13.0,,0.0,,39.83,68.71,28.88,5.7,17.3,49090.5,45443.67,21.17,89.22,6.3,2.06,17104.33,,,,21
21163,14.0,,,,46.31,71.72,25.41,5.05,12.13,61183.83,44147.67,18.16,91.22,3.69,3.84,29091.67,,,,21
21165,0.0,,0.0,,49.26,73.78,24.51,6.9,25.2,39853.33,38046.67,11.16,98.49,0.15,1.95,6301.33,,,,21
21167,13.0,,,,47.92,72.7,24.77,4.67,13.1,58151.17,41165.17,19.69,92.46,3.73,3.11,22098.67,,,,21
21169,0.0,,,,57.84,77.85,20.01,5.15,22.52,40549.17,34958.83,13.53,95.44,1.78,1.51,10167.17,,,,21
21171,,,0.0,,74.23,86.46,12.23,4.12,22.3,40445.33,40435.5,14.58,95.14,2.5,3.16,10968.0,,,,21
21173,21.0,89.35,,,41.53,69.57,28.04,5.52,15.5,52228.17,40341.5,16.78,93.98,2.79,2.87,28024.17,,0.64,5.0,21
21175,,,0.0,,55.94,77.08,21.14,5.65,25.75,40856.0,30764.5,15.32,92.98,3.65,1.24,13549.17,,,,21
